slug,view_count,event,filmed
terry_moore_why_is_x_the_unknown,3327718,TED2012,2012-02-28
thandie_newton_embracing_otherness_embracing_myself,2546422,TEDGlobal 2011,2011-07-13
the_cockroach_beatbox,314650,TED-Ed,2011-11-17
the_debut_of_the_british_paraorchestra,70215,TEDxBrussels,2011-11-22
the_design_genius_of_charles_and_ray_eames,609031,TED2007,2007-02-02
the_inspiration_of_second_life,562305,Serious Play 2008,2008-05-08
the_interspecies_internet_an_idea_in_progress,724765,TED2013,2013-02-28
the_jill_and_julia_show,496839,TED2007,2007-03-03
the_lady_lifers_a_moving_song_from_women_in_prison_for_life,1326991,TEDxMuncyStatePrison,2014-11-21
the_lxd_in_the_internet_age_dance_evolves,2836593,TED2010,2010-02-02
the_raspyni_brothers_juggle_and_jest,817084,TED2002,2002-02-02
