public_URL,talk_id,description,views,event
"<link href=""https://www.ted.com/talks/felice_belle_and_jennifer_murphy_how_we_became_sisters"" rel=""canonical""/>",10727,"Poets Felice Belle and Jennifer Murphy perform excerpts from their play ""Other Women,"" which is created and directed by Monica L. Williams. In a captivating journey, they weave together stories full of laughter, loyalty, tragedy and heartbreak, recalling the moments that made them sisters.",738596,TEDWomen 2017
"<link href=""https://www.ted.com/talks/thelma_golden_how_art_gives_shape_to_cultural_change"" rel=""canonical""/>",831,"Thelma Golden, curator at the Studio Museum in Harlem, talks through three recent shows that explore how art examines and redefines culture. The ""post-black"" artists she works with are using their art to provoke a new dialogue about race and culture -- and about the meaning of art itself.",584638,TED2009
"<link href=""https://www.ted.com/talks/apollo_robbins_the_art_of_misdirection"" rel=""canonical""/>",1821,"Hailed as the greatest pickpocket in the world, Apollo Robbins studies the quirks of human behavior as he steals your watch. In a hilarious demonstration, Robbins samples the buffet of the TEDGlobal 2013 audience, showing how the flaws in our perception make it possible to swipe a wallet and leave it on its owner’s shoulder while they remain clueless.",17191680,TEDGlobal 2013
"<link href=""https://www.ted.com/talks/christopher_soghoian_government_surveillance_this_is_just_the_beginning"" rel=""canonical""/>",1940,"Privacy researcher Christopher Soghoian sees the landscape of government surveillance shifting beneath our feet, as an industry grows to support monitoring programs. Through private companies, he says, governments are buying technology with the capacity to break into computers, steal documents and monitor activity — without detection. This TED Fellow gives an unsettling look at what's to come.",850375,TED Fellows Retreat 2013
"<link href=""https://www.ted.com/talks/srdja_popovic_how_to_topple_a_dictator"" rel=""canonical""/>",1294,"People-powered resistance: can it work? Srdja Popovic led the nonviolent movement that took down Milosevic in Serbia in 2000; he lays out the plans, skills and tools that a people-powered movement needs -- from nonviolent tactics to a sense of humor.",301290,TEDxKrakow
"<link href=""https://www.ted.com/talks/maysoon_zayid_i_got_99_problems_palsy_is_just_one"" rel=""canonical""/>",1898,"""I have cerebral palsy. I shake all the time,"" Maysoon Zayid announces at the beginning of this exhilarating, hilarious talk. (Really, it's hilarious.) ""I'm like Shakira meets Muhammad Ali."" With grace and wit, the Arab-American comedian takes us on a whistle-stop tour of her adventures as an actress, stand-up comic, philanthropist and advocate for the disabled.",9551566,TEDWomen 2013
"<link href=""https://www.ted.com/talks/guy_winch_the_case_for_emotional_hygiene"" rel=""canonical""/>",2193,"We'll go to the doctor when we feel flu-ish or a nagging pain. So why don’t we see a health professional when we feel emotional pain: guilt, loss, loneliness? Too many of us deal with common psychological-health issues on our own, says Guy Winch. But we don’t have to. He makes a compelling case to practice emotional hygiene — taking care of our emotions, our minds, with the same diligence we take care of our bodies.",6194112,TEDxLinnaeusUniversity
"<link href=""https://www.ted.com/talks/defend_our_freedom_to_share_or_why_sopa_is_a_bad_idea"" rel=""canonical""/>",1329,"What does a bill like PIPA/SOPA mean to our shareable world? At the TED offices, Clay Shirky delivers a proper manifesto -- a call to defend our freedom to create, discuss, link and share, rather than passively consume.",1290539,TEDSalon NY2012
"<link href=""https://www.ted.com/talks/shai_agassi_on_electric_cars"" rel=""canonical""/>",512,"Forget about the hybrid auto -- Shai Agassi says it's electric cars or bust if we want to impact emissions. His company, Better Place, has a radical plan to take entire countries oil-free by 2020.",1170538,TED2009
"<link href=""https://www.ted.com/talks/tom_wujec_build_a_tower"" rel=""canonical""/>",837,"Tom Wujec presents some surprisingly deep research into the ""marshmallow problem"" -- a simple team-building exercise that involves dry spaghetti, one yard of tape and a marshmallow. Who can build the tallest tower with these ingredients? And why does a surprising group always beat the average?",4517537,TED2010
"<link href=""https://www.ted.com/talks/nikolai_begg_a_tool_to_fix_one_of_the_most_dangerous_moments_in_surgery"" rel=""canonical""/>",2046,"Surgeons are required every day to puncture human skin before procedures — with the risk of damaging what's on the other side. In a fascinating talk, find out how mechanical engineer Nikolai Begg is using physics to update an important medical device, called the trocar, and improve one of the most dangerous moments in many common surgeries.",1350805,TEDxBeaconStreet
"<link href=""https://www.ted.com/talks/shih_chieh_huang_sculptures_that_d_be_at_home_at_the_bottom_of_the_ocean"" rel=""canonical""/>",2047,"When he was young, artist Shih Chieh Huang loved taking toys apart and perusing the aisles of night markets in Taiwan for unexpected objects. Today, this TED Fellow creates madcap sculptures that seem to have a life of their own—with eyes that blink, tentacles that unfurl and parts that light up like bioluminescent sea creatures.",844769,TED2014
"<link href=""https://www.ted.com/talks/manu_prakash_lifesaving_scientific_tools_made_of_paper"" rel=""canonical""/>",2812,"Inventor Manu Prakash turns everyday materials into powerful scientific devices, from paper microscopes to a clever new mosquito tracker. From the TED Fellows stage, he demos Paperfuge, a hand-powered centrifuge inspired by a spinning toy that costs 20 cents to make and can do the work of a $1,000 machine, no electricity required.",1302111,TED2017
"<link href=""https://www.ted.com/talks/j_j_abrams_mystery_box"" rel=""canonical""/>",205,"J.J. Abrams traces his love for the unseen mystery –- a passion that's evident in his films and TV shows, including Lost, Star Trek and the upcoming Star Wars VII -- back to its magical beginnings.",3661444,TED2007
"<link href=""https://www.ted.com/talks/jane_mcgonigal_gaming_can_make_a_better_world"" rel=""canonical""/>",799,"Games like World of Warcraft give players the means to save worlds, and incentive to learn the habits of heroes. What if we could harness this gamer power to solve real-world problems? Jane McGonigal says we can, and explains how.",4796572,TED2010
"<link href=""https://www.ted.com/talks/leslie_morgan_steiner_why_domestic_violence_victims_don_t_leave"" rel=""canonical""/>",1654,"Leslie Morgan Steiner was in ""crazy love"" -- that is, madly in love with a man who routinely abused her and threatened her life. Steiner tells the story of her relationship, correcting misconceptions many people hold about victims of domestic violence, and explaining how we can all help break the silence. ",4332611,TEDxRainier
"<link href=""https://www.ted.com/talks/jill_shargaa_please_please_people_let_s_put_the_awe_back_in_awesome"" rel=""canonical""/>",2071,"Which of the following is awesome: your lunch or the Great Pyramid of Giza? Comedian Jill Shargaa sounds a hilarious call for us to save the word ""awesome"" for things that truly inspire awe.",1532616,TED@NYC
"<link href=""https://www.ted.com/talks/shea_hembrey_how_i_became_100_artists"" rel=""canonical""/>",1169,"How do you stage an international art show with work from 100 different artists? If you're Shea Hembrey, you invent all of the artists and artwork yourself -- from large-scale outdoor installations to tiny paintings drawn with a single-haired brush. Watch this funny, mind-bending talk to see the explosion of creativity and diversity of skills a single artist is capable of.",1525132,TED2011
"<link href=""https://www.ted.com/talks/james_b_glattfelder_who_controls_the_world"" rel=""canonical""/>",1668,"James Glattfelder studies complexity: how an interconnected system -- say, a swarm of birds -- is more than the sum of its parts. And complexity theory, it turns out, can reveal a lot about how the world economy works. Glattfelder shares a groundbreaking study of how control flows through the global economy, and how concentration of power in the hands of a shockingly small number leaves us all vulnerable.",2612645,TEDxZurich 2012
"<link href=""https://www.ted.com/talks/deborah_lipstadt_behind_the_lies_of_holocaust_denial"" rel=""canonical""/>",2769,"""There are facts, there are opinions, and there are lies,"" says historian Deborah Lipstadt, telling the remarkable story of her research into Holocaust deniers -- and their deliberate distortion of history. Lipstadt encourages us all to go on the offensive against those who assault the truth and facts. ""Truth is not relative,"" she says.",1131343,TEDxSkoll
"<link href=""https://www.ted.com/talks/ex_moonie_diane_benscoter_how_cults_think"" rel=""canonical""/>",578,"Diane Benscoter spent five years as a ""Moonie."" She shares an insider's perspective on the mind of a cult member, and proposes a new way to think about today's most troubling conflicts and extremist movements.",1125254,TED2009
"<link href=""https://www.ted.com/talks/anthony_goldbloom_the_jobs_we_ll_lose_to_machines_and_the_ones_we_won_t"" rel=""canonical""/>",2548,"Machine learning isn't just for simple tasks like assessing credit risk and sorting mail anymore -- today, it's capable of far more complex applications, like grading essays and diagnosing diseases. With these advances comes an uneasy question: Will a robot do your job in the future?",2236060,TED2016
"<link href=""https://www.ted.com/talks/lalitesh_katragadda_making_maps_to_fight_disaster_build_economies"" rel=""canonical""/>",736,"As of 2005, only 15 percent of the world was mapped. This slows the delivery of aid after a disaster -- and hides the economic potential of unused lands and unknown roads. In this short talk, Google's Lalitesh Katragadda demos Map Maker, a group map-making tool that people around the globe are using to map their world.",369204,TEDIndia 2009
"<link href=""https://www.ted.com/talks/martin_jacques_understanding_the_rise_of_china"" rel=""canonical""/>",1059,"Speaking at a TED Salon in London, Martin Jacques asks: How do we in the West make sense of China and its phenomenal rise? The author of ""When China Rules the World,"" he examines why the West often puzzles over the growing power of the Chinese economy, and offers three building blocks for understanding what China is and will become.",2627531,TEDSalon London 2010
"<link href=""https://www.ted.com/talks/john_mcwhorter_4_reasons_to_learn_a_new_language"" rel=""canonical""/>",2595,"English is fast becoming the world's universal language, and instant translation technology is improving every year. So why bother learning a foreign language? Linguist and Columbia professor John McWhorter shares four alluring benefits of learning an unfamiliar tongue.",2563909,TED2016
