slug,view_count,event,filmed
jonathan_foley_the_other_inconvenient_truth,720111,TEDxTC,2010-10-13
jonathan_haidt_can_a_divided_america_heal,1584730,TEDNYC,2016-11-02
jonathan_haidt_how_common_threats_can_make_common_political_ground,614392,TEDSalon NY2012,2012-12-19
jonathan_haidt_humanity_s_stairway_to_self_transcendence,1149040,TED2012,2012-02-29
jonathan_haidt_on_the_moral_mind,2849131,TED2008,2008-03-01
jonathan_harris_collects_stories,862371,TED2007,2007-12-12
jonathan_harris_tells_the_web_s_secret_stories,1063873,TED2007,2007-03-03
jonathan_klein_photos_that_changed_the_world,1221213,TED2010,2010-02-11
jonathan_marks_in_praise_of_conflict,1186390,TEDxPSU,2017-02-12
jonathan_rossiter_a_robot_that_eats_pollution,1167560,TEDxWarwick,2016-03-05
jonathan_tepperman_the_risky_politics_of_progress,954750,TEDSummit,2016-06-29
jonathan_trent_energy_from_floating_algae_pods,846907,TEDGlobal 2012,2012-06-27
jonathan_zittrain_the_web_is_a_random_act_of_kindness,729852,TEDGlobal 2009,2009-07-22
jorge_drexler_poetry_music_and_identity,762774,TED2017,2017-04-24
jorge_ramos_why_journalists_have_an_obligation_to_challenge_power,439546,TED2017,2017-04-24
jorge_soto_the_future_of_early_cancer_detection,1232761,TEDGlobal 2014,2014-10-09
jose_abreu_on_kids_transformed_by_music,958146,TED2009,2009-02-05
jose_bowen_beethoven_the_businessman,120142,TEDxSMU,2011-12-03
jose_miguel_sokoloff_how_christmas_lights_helped_guerrillas_put_down_their_guns,769191,TEDGlobal 2014,2014-10-07
joseph_kim_the_family_i_lost_in_north_korea_and_the_family_i_gained,2211986,TEDGlobal 2013,2013-06-13
joseph_lekuton_tells_a_parable_for_kenya,204361,TEDGlobal 2007,2007-06-06
joseph_nye_on_global_power_shifts,984350,TEDGlobal 2010,2010-07-09
joseph_pine_on_what_consumers_want,964816,TED2004,2004-02-29
joseph_ravenell_how_barbershops_can_keep_men_healthy,1037362,TED2016,2016-02-16
joseph_redmon_how_a_computer_learns_to_recognize_objects_instantly,1466221,TED2017,2017-04-24
josette_sheeran_ending_hunger_now,830651,TEDGlobal 2011,2011-07-14
josh_luber_why_sneakers_are_a_great_investment,1857234,TED@IBM,2015-10-15
josh_silver_demos_adjustable_liquid_filled_eyeglasses,762047,TEDGlobal 2009,2009-07-23
joshua_foer_feats_of_memory_anyone_can_do,4875369,TED2012,2012-02-29
joshua_klein_on_the_intelligence_of_crows,2418749,TED2008,2008-03-03
joshua_prager_in_search_for_the_man_who_broke_my_neck,1361684,TED2013,2013-03-01
joshua_prager_wisdom_from_great_writers_on_every_year_of_life,1566904,TEDActive 2015,2015-03-19
joshua_prince_ramus_building_a_theater_that_remakes_itself,742769,TEDxSMU,2009-10-10
joshua_prince_ramus_on_seattle_s_library,1000120,TED2006,2006-02-23
joshua_smith_new_nanotech_to_catch_cancer_early,941592,TED@IBM,2016-11-15
joshua_walters_on_being_just_crazy_enough,1666847,Full Spectrum Auditions,2011-05-24
joy_buolamwini_how_i_m_fighting_bias_in_algorithms,926925,TEDxBeaconStreet,2016-11-19
joy_sun_should_you_donate_differently,1235286,TED@NYC,2014-07-08
jp_rangaswami_information_is_food,663023,TED@SXSWi,2012-04-09
jr_one_year_of_turning_the_world_inside_out,1151698,TED2012,2012-03-01
jr_s_ted_prize_wish_use_art_to_turn_the_world_inside_out,2664919,TED2011,2011-03-02
juan_enriquez_how_to_think_about_digital_tattoos,1596677,TED2013,2013-02-26
juan_enriquez_on_genomics_and_our_future,707593,TED2003,2003-02-02
juan_enriquez_shares_mindboggling_new_science,2981454,TED2009,2009-02-04
juan_enriquez_wants_to_grow_energy,960159,TEDSalon 2007 Hot Science,2007-09-09
juan_enriquez_we_can_reprogram_life_how_to_do_it_wisely,1998163,TED Talks Live,2015-11-06
juan_enriquez_what_will_humans_look_like_in_100_years,2689742,TEDSummit,2016-06-26
juan_enriquez_will_our_kids_be_a_different_species,1903523,TEDxSummit,2012-04-26
jude_kelly_why_women_should_tell_the_stories_of_humanity,1133167,TEDWomen 2016,2016-10-26
judson_brewer_a_simple_way_to_break_a_bad_habit,8952632,TEDMED 2015,2015-11-18
judy_macdonald_johnston_prepare_for_a_good_end_of_life,1492170,TED2013,2013-02-27
julia_bacha,754576,TEDGlobal 2011,2011-07-13
julia_bacha_how_women_wage_conflict_without_violence,825115,TEDSummit,2016-06-29
julia_galef_why_you_think_you_re_right_even_if_you_re_wrong,3310591,TEDxPSU,2016-02-28
julia_sweeney_has_the_talk,3418482,TED2010,2010-02-12
julia_sweeney_on_letting_go_of_god,3828112,TED2006,2006-02-24
julian_assange_why_the_world_needs_wikileaks,2297707,TEDGlobal 2010,2010-07-16
julian_baggini_is_there_a_real_you,1042322,TEDxYouth@Manchester,2011-11-03
julian_treasure_5_ways_to_listen_better,5759939,TEDGlobal 2011,2011-07-11
julian_treasure_how_to_speak_so_that_people_want_to_listen,24916922,TEDGlobal 2013,2013-06-10
julian_treasure_shh_sound_health_in_8_steps,1223805,TEDGlobal 2010,2010-07-09
julian_treasure_the_4_ways_sound_affects_us,1605938,TEDGlobal 2009,2009-07-21
julian_treasure_why_architects_need_to_use_their_ears,1242461,TEDGlobal 2012,2012-06-26
juliana_machado_ferreira,326963,TED2010,2010-02-02
juliana_rotich_meet_brck_internet_access_built_for_africa,636484,TEDGlobal 2013,2013-06-11
julie_burstein_4_lessons_in_creativity,1817530,TED2012,2012-02-29
julie_lythcott_haims_how_to_raise_successful_kids_without_over_parenting,2878327,TED Talks Live,2015-11-01
julie_taymor_spider_man_the_lion_king_and_life_on_the_creative_edge,970304,TED2011,2011-03-02
julio_gil_future_tech_will_give_you_the_benefits_of_city_life_anywhere,1117780,TED@UPS,2017-07-20
jun_wang_how_digital_dna_could_help_you_make_better_health_choices,1062123,TED2017,2017-04-24
just_how_small_is_an_atom,443945,TED-Ed,2012-04-25
justin_baldoni_why_i_m_done_trying_to_be_man_enough,1740041,TEDWomen 2017,2017-11-01
justin_davidson_why_shiny_glass_towers_are_bad_for_city_life,1306411,TEDNYC,2017-03-08
justin_hall_tipping_freeing_energy_from_the_grid,1055349,TEDGlobal 2011,2011-07-13
kailash_satyarthi_how_to_make_peace_get_angry,1217941,TED2015,2015-03-25
kakenya_ntaiya_a_girl_who_demanded_school,2491093,TEDxMidAtlantic,2012-10-26
kaki_king_a_musical_escape_into_a_world_of_light_and_color,1387837,TEDWomen 2015,2015-05-27
kaki_king_rocks_out_to_pink_noise,1070070,TED2008,2008-03-01
kamal_meattle_on_how_to_grow_your_own_fresh_air,3220409,TED2009,2009-02-05
kamau_gachigi_success_stories_from_kenya_s_first_makerspace,691713,TEDGlobal 2017,2017-08-27
kandice_sumner_how_america_s_public_schools_keep_kids_in_poverty,1238384,TEDxBeaconStreet,2015-11-14
kang_lee_can_you_really_tell_if_a_kid_is_lying,6769131,TED2016,2016-02-18
kare_anderson_be_an_opportunity_maker,2271914,TED@IBM,2014-09-15
karen_armstrong_let_s_revive_the_golden_rule,761284,TEDGlobal 2009,2009-07-24
karen_armstrong_makes_her_ted_prize_wish_the_charter_for_compassion,1340915,TED2008,2008-02-28
karen_bass_unseen_footage_untamed_nature,754847,TED2012,2012-03-01
