,slug,view_count,event,filmed
2198,miho_janvier_lessons_from_a_solar_storm_chaser,666259,TEDGlobal 2017,2017-08-27
2199,mike_biddle,992950,TEDGlobal 2011,2011-07-14
2200,mike_kinney_a_pro_wrestler_s_guide_to_confidence,912478,TED@UPS,2017-07-20
2201,mike_matas,1520268,TED2011,2011-03-02
2202,mike_rowe_celebrates_dirty_jobs,4570356,EG 2008,2008-12-12
2210,miriam_zoila_perez_how_racism_harms_pregnant_women_and_what_can_help,839099,TEDWomen 2016,2016-10-26
2211,miru_kim_s_underground_art,590062,EG 2008,2008-12-12
2216,mitchell_joachim_don_t_build_your_home_grow_it,1368267,TED2010,2010-02-12
2217,miwa_matreyek_s_glorious_visions,840906,TEDGlobal 2010,2010-07-14
2220,molly_crockett_beware_neuro_bunk,1215162,TEDSalon London Fall 2012,2012-11-07
2222,molly_winter_the_taboo_secret_to_healthier_plants_and_people,1596640,TEDxBend,2016-04-23
2223,mona_chalabi_3_ways_to_spot_a_bad_statistic,1510166,TEDNYC,2017-02-15
2224,monica_araya_a_small_country_with_big_ideas_to_get_rid_of_fossil_fuels,1063101,TEDSummit,2016-06-29
2229,morley_sings_women_of_hope,315730,TEDxWomen 2011,2011-12-01
2232,moshe_szyf_how_early_life_experience_is_written_into_dna,1202545,TEDxBratislava,2016-07-03
2236,murray_gell_mann_on_beauty_and_truth_in_physics,1203259,TED2007,2007-03-03
2237,murray_gell_mann_on_the_ancestor_of_language,807168,TED2007,2007-03-03
2240,nabila_alibhai_why_people_of_different_faiths_are_painting_their_houses_of_worship_yellow,966608,TEDGlobal 2017,2017-08-27
2242,nadia_lopez_why_open_a_school_to_close_a_prison,1064906,TED Talks Live,2015-11-02
2244,nadine_hachach_haram_how_augmented_reality_could_change_the_future_of_surgery,833503,TEDWomen 2017,2017-11-01
2245,nagin_cox_what_time_is_it_on_mars,1522871,TEDxBeaconStreet,2016-11-19
2249,nancy_duarte_the_secret_structure_of_great_talks,1298718,TEDxEast,2011-11-11
2250,nancy_etcoff_on_happiness_and_why_we_want_it,1671288,TED2004,2004-02-02
2252,nancy_kanwisher_the_brain_is_a_swiss_army_knife,1115248,TED2014,2014-03-14
2254,nancy_lublin_the_heartbreaking_text_that_inspired_a_crisis_help_line,805646,TEDWomen 2015,2015-05-27
2257,naomi_mcdougall_jones_what_it_s_like_to_be_a_woman_in_hollywood,964350,TEDxBeaconStreet,2016-11-19
2260,natalie_macmaster_and_donnell_leahy_play_the_cape_breton_fiddle,1101528,TED2003,2003-02-02
2263,natalie_panek_let_s_clean_up_the_space_junk_orbiting_earth,994293,TEDxToronto,2015-10-22
2264,natalie_warne_being_young_and_making_an_impact,596045,TEDxTeen,2011-04-02
2265,natasha_hurley_walker_how_radio_telescopes_show_us_unseen_galaxies,1037364,TEDxPerth,2016-10-14
2267,nate_garvis_change_our_culture_change_our_world,129891,TEDxTC,2010-10-13
2268,nate_silver_on_race_and_politics,435658,TED2009,2009-02-07
2270,nathalie_miebach,737506,TEDGlobal 2011,2011-07-11
2272,nathan_myhrvold_cut_your_food_in_half,1408985,TED2011,2011-03-03
2273,nathan_myhrvold_on_archeology_animal_photography_bbq,458404,TED2007,2007-03-03
2274,nathan_wolfe_hunts_for_the_next_aids,1093586,TED2009,2009-02-05
2275,nathan_wolfe_what_s_left_to_explore,886231,TED2012,2012-02-27
2276,nathaniel_kahn_on_my_architect,343864,TED2002,2002-02-02
2277,natsai_audrey_chieza_fashion_has_a_pollution_problem_can_biology_fix_it,764813,TED@BCG Milan,2017-10-04
2278,naturally_7_jams_fly_baby_with_an_orchestra_of_vocals,1507082,TED2009,2009-02-04
2280,negin_farsad_a_highly_scientific_taxonomy_of_haters,1261170,TED2016,2016-02-15
2281,neha_narula_the_future_of_money,1969632,TED@BCG Paris,2016-05-18
2283,neil_gershenfeld_on_fab_labs,715363,TED2006,2006-02-02
2287,neil_turok_makes_his_ted_prize_wish,482594,TED2008,2008-02-28
2288,nellie_mckay_sings_clonie_1,700733,TED2008,2008-02-29
2289,nellie_mckay_sings_feminists_and_if_i_had_you,1032383,TED2008,2008-02-02
2290,nellie_mckay_sings_the_dog_song,697764,TED2008,2008-02-02
2293,ngozi_okonjo_iweala_how_africa_can_keep_rising,811382,TEDSummit,2016-06-27
2295,ngozi_okonjo_iweala_on_doing_business_in_africa,1087433,TED2007,2007-03-03
2301,nicholas_negroponte_in_1984_makes_5_predictions,988042,TED1984,1984-02-02
2302,nicholas_negroponte_on_one_laptop_per_child,377169,TED2006,2006-02-23
2303,nicholas_negroponte_on_one_laptop_per_child_two_years_on,405955,EG 2007,2007-12-12
2305,nick_bostrom_on_our_biggest_problems,786352,TEDGlobal 2005,2005-07-14
2314,niki_okuk_when_workers_own_companies_the_economy_is_more_resilient,1031557,TEDxCrenshaw,2016-10-08
2315,nikki_webber_allen_don_t_suffer_from_your_depression_in_silence,1437160,TED Residency,2017-06-06
2318,nina_fedoroff_a_secret_weapon_against_zika_and_other_mosquito_borne_diseases,953162,TEDxMidAtlantic,2016-10-21
2320,nina_tandon_caring_for_cells,494243,TED2011,2011-03-02
2322,nirmalya_kumar_india_s_invisible_entrepreneurs,895545,TEDxLondonBusinessSchool,2012-04-27
2323,niti_bhan_the_hidden_opportunities_of_the_informal_economy,849695,TEDGlobal 2017,2017-08-27
2325,nnedi_okorafor_sci_fi_stories_that_imagine_a_future_africa,789764,TEDGlobal 2017,2017-08-27
2326,noah_feldman_hamilton_vs_madison_and_the_birth_of_american_partisanship,1011067,TED2017,2017-04-24
2331,nora_york_sings_what_i_want,403180,TEDSalon 2006,2006-12-14
2333,noriko_arai_can_a_robot_pass_a_university_entrance_exam,1215305,TED2017,2017-04-24
2334,norman_foster_s_green_agenda,775625,DLD 2007,2007-01-01
2335,norman_lear_an_entertainment_icon_on_living_a_life_of_meaning,1053818,TED2016,2016-02-16
2338,oded_shoseyov_how_we_re_harnessing_nature_s_hidden_superpowers,1339547,TED@BCG Paris,2016-05-18
2339,ok_go_how_to_find_a_wonderful_idea,1805061,TED2017,2017-04-24
2343,olivier_scalabre_the_next_manufacturing_revolution_is_here,1661491,TED@BCG Paris,2016-05-20
2344,oluf_mi_taiwo_why_africa_must_become_a_center_of_knowledge_again,920691,TEDGlobal 2017,2017-08-27
2345,olutimehin_adegbeye_who_belongs_in_a_city,1109095,TEDGlobal 2017,2017-08-27
2348,onyx_ashanti_this_is_beatjazz,796407,Full Spectrum Auditions,2011-05-24
2350,ory_okolloh_on_becoming_an_activist,330860,TEDGlobal 2007,2007-06-06
2356,pamelia_kurstin_plays_the_theremin,1719537,TED2002,2002-02-02
2361,paolo_cardini_forget_multitasking_try_monotasking,2376888,TEDGlobal 2012,2012-06-27
2367,patricia_burchat_leads_a_search_for_dark_energy,1433810,TED2008,2008-02-02
2370,patricia_ryan_ideas_in_all_languages_not_just_english,1691916,TEDxDubai,2010-12-04
2371,patrick_awuah_on_educating_leaders,1289059,TEDGlobal 2007,2007-06-06
2373,patsy_rodenburg_why_i_do_theater,179698,Michael Howard Studios,2008-10-09
2374,pattie_maes_demos_the_sixth_sense,9829346,TED2009,2009-02-06
2379,paul_collier_shares_4_ways_to_help_the_bottom_billion,1035318,TED2008,2008-03-03
2380,paul_conneally_digital_humanitarianism,353577,TEDxRC2,2011-11-27
2385,paul_hessburg_why_wildfires_have_gotten_worse_and_how_we_can_stop_them,850700,TEDxBend,2017-05-13
2387,paul_knoepfler_the_ethical_dilemma_of_designer_babies,1148679,TEDxVienna,2015-10-31
2388,paul_lewis_crowdsourcing_the_news,157207,TEDxThessaloniki,2011-04-02
2391,paul_moller_on_the_skycar,423058,TED2004,2004-02-02
2395,paul_romer,579726,TEDGlobal 2009,2009-07-22
2398,paul_rothemund_casts_a_spell_with_dna,417260,TED2007,2007-03-03
2399,paul_rothemund_details_dna_folding,546101,TED2008,2008-02-02
2403,paul_tasner_how_i_became_an_entrepreneur_at_66,1375368,TED Residency,2017-06-06
2404,paul_zak_trust_morality_and_oxytocin,1552894,TEDGlobal 2011,2011-07-13
2407,paula_scher_gets_serious,521706,Serious Play 2008,2008-05-05
2408,pavan_sukhdev_what_s_the_price_of_nature,648134,TEDGlobal 2011,2011-07-14
2411,peggy_orenstein_what_young_women_believe_about_their_own_sexual_pleasure,1921265,TEDWomen 2016,2016-10-26
2412,penelope_boston,657115,TED2006,2006-02-02
2413,per_espen_stoknes_how_to_transform_apocalypse_fatigue_into_action_on_global_warming,849481,TEDGlobal>NYC,2017-09-20
2414,pete_alcorn_s_vision_of_a_better_world,500765,TED2009,2009-02-05
2415,peter_attia_what_if_we_re_wrong_about_diabetes,2503418,TEDMED 2013,2013-04-05
2416,peter_calthorpe_7_principles_for_building_better_cities,1217994,TED2017,2017-04-24
2420,peter_donnelly_shows_how_stats_fool_juries,1071500,TEDGlobal 2005,2005-07-14
2426,peter_hirshberg_on_tv_and_the_web,255076,EG 2007,2007-12-12
2429,peter_reinhart_on_bread,835553,Taste3 2008,2008-07-17
2435,peter_ward_on_mass_extinctions,847480,TED2008,2008-02-27
2436,peter_weinstock_lifelike_simulations_that_make_real_life_surgery_safer,942364,TEDxNatick,2016-01-23
2437,phil_borges_on_endangered_cultures,910731,TED2006,2006-02-23
2441,philip_howard,620555,TED2010,2010-02-13
2443,philip_zimbardo_prescribes_a_healthy_take_on_time,1617572,TED2009,2009-02-06
2444,philippa_neave_the_unexpected_challenges_of_a_country_s_first_election,871910,TEDNYC,2016-09-07
2446,philippe_starck_thinks_deep_on_design,1839086,TED2007,2007-03-03
2449,pico_iyer_the_beauty_of_what_we_ll_never_know,1525518,TEDSummit,2016-06-30
2451,pierre_thiam_a_forgotten_ancient_grain_that_could_help_africa_prosper,951313,TED2017,2017-08-27
2452,pilobolus_perform_symbiosis,3109618,TED2005,2005-02-25
2453,pistol,586707,TED2010,2010-02-10
2454,pope_francis_why_the_only_future_worth_building_includes_everyone,2870003,TED2017,2017-04-25
2456,prosanta_chakrabarty_clues_to_prehistoric_times_found_in_blind_cavefish,1018118,TED2016,2016-02-15
2457,prumsodun_ok_the_magic_of_khmer_classical_dance,979023,TED2017,2017-04-24
2459,put_the_financial_aid_in_the_bag,190576,TED-Ed,2011-11-11
2460,pw_singer_on_robots_of_war,1482690,TED2009,2009-02-04
2461,qi_zhang_s_electrifying_organ_performance,808878,TEDxUSC,2009-03-23
2462,questions_no_one_knows_the_answers_to,669104,TED-Ed,2012-03-12
2463,quixotic_fusion_dancing_with_light,1410631,TED2012,2012-02-28
2464,quyen_nguyen_color_coded_surgery,1119065,TEDMED 2011,2011-10-28
2467,rabbi_lord_jonathan_sacks_how_we_can_face_the_future_without_fear_together,1554994,TED2017,2017-04-24
2471,rachel_botsman_we_ve_stopped_trusting_institutions_and_started_trusting_strangers,1375147,TEDSummit,2016-06-29
2474,radhika_nagpal_what_intelligent_machines_can_learn_from_a_school_of_fish,1002797,TED2017,2017-04-24
2477,raghava_kk_five_lives_of_an_artist,685358,TED2010,2010-02-12
2479,raghava_kk_what_s_your_200_year_plan,819281,TEDxSummit,2012-04-16
2481,rainn_wilson_ideas_worth_dating,835694,TED Studio,2016-05-02
2482,raj_panjabi_no_one_should_die_because_they_live_too_far_from_a_doctor,1076689,TED2017,2017-04-24
2485,ralph_langner_cracking_stuxnet_a_21st_century_cyberweapon,1368264,TED2011,2011-03-03
2492,randy_pausch_really_achieving_your_childhood_dreams,575941,Carnegie Mellon University,2007-09-18
2493,raul_midon_plays_all_the_answers_and_tembererana,411371,TED2007,2007-03-03
2494,raul_midon_plays_everybody_and_peace_on_earth,333842,TED2007,2007-03-03
2497,ray_dalio_how_to_build_a_company_where_the_best_ideas_win,1873358,TED2017,2017-04-24
2498,ray_kurzweil_announces_singularity_university,925980,TED2009,2009-02-07
2500,ray_kurzweil_on_how_technology_will_transform_us,2482159,TED2005,2005-02-24
2504,rebecca_brachman_could_a_drug_prevent_depression_and_ptsd,1234404,TEDxNewYork,2016-09-10
2506,rebecca_mackinnon_we_can_fight_terror_without_sacrificing_our_rights,1073586,TEDSummit,2016-06-29
2508,rebecca_saxe_how_brains_make_moral_judgments,2909264,TEDGlobal 2009,2009-07-22
2509,reed_kroloff_on_modern_and_romantic_architecture,287953,TED2003,2003-02-02
2510,reggie_watts_disorients_you_in_the_most_entertaining_way,9673039,TED2012,2012-02-29
2513,reinventing_the_car,575526,TED2005,2005-02-28
2519,rhiannon_giddens_3_songs_that_bring_history_to_life,1116408,TED2016,2016-02-15
2520,ric_elias,6782310,TED2011,2011-03-04
2524,richard_baraniuk_on_open_source_learning,983042,TED2006,2006-02-23
2526,richard_browning_how_i_built_a_jet_suit,1638105,TED2017,2017-04-24
2527,richard_dawkins_growing_up_in_the_universe,319583,Royal Institution,1991-12-20
2529,richard_feynman,540265,BBC TV,1983-07-08
2530,richard_j_berry_a_practical_way_to_help_the_homeless_find_work_and_safety,1044002,TEDxPennsylvaniaAvenue,2017-02-09
2532,richard_preston_on_the_giant_trees,660620,TED2008,2008-02-02
2533,richard_pyle_dives_the_twilight_zone,362395,TED2004,2004-02-02
2539,richard_turere_a_peace_treaty_with_the_lions,2088006,TED2013,2013-02-27
2541,richard_wilkinson,2575124,TEDGlobal 2011,2011-07-12
2542,rick_falkvinge_i_am_a_pirate,184215,TEDxObserver,2012-03-11
2543,rick_guidotti_from_stigma_to_supermodel,170545,TEDxPhoenix,2011-11-11
2549,rives_controls_the_internet,1849146,TEDSalon 2006,2006-11-30
2550,rives_on_4_a_m,3628329,TED2007,2007-03-03
2552,rives_remixes_ted2006,649323,TED2006,2006-02-02
2553,rives_tells_a_story_of_mixed_emoticons,1627235,TED2008,2008-02-02
2554,rob_dunbar,556028,Mission Blue Voyage,2010-04-15
2561,robb_willer_how_to_have_better_political_conversations,1312496,TEDxMarin,2016-09-17
2562,robert_ballard_on_exploring_the_oceans,1305016,TED2008,2008-02-29
2563,robert_fischell_on_medical_inventing,401710,TED2005,2005-02-24
2565,robert_full_on_animal_movement,719695,TED2005,2005-02-02
2566,robert_full_on_engineering_and_evolution,825674,TED2002,2002-02-02
2569,robert_gupta,1185161,TED2010,2010-02-10
2570,robert_gupta_and_joshua_roman_duet_on_passacaglia,785403,TED2011,2011-03-02
2573,robert_lang_folds_way_new_origami,2199038,TED2008,2008-02-02
2575,robert_muggah_the_biggest_risks_facing_cities_and_some_solutions,864941,TEDGlobal>NYC,2017-09-20
2576,robert_neuwirth_on_our_shadow_cities,704035,TEDGlobal 2005,2005-07-14
2579,robert_sapolsky_the_biology_of_our_best_and_worst_selves,1303341,TED2017,2017-04-24
2580,robert_sapolsky_the_uniqueness_of_humans,582314,Stanford University,2009-09-08
2582,robert_thurman_on_compassion,311885,Chautauqua Institution,2009-10-01
2584,robert_wright_on_optimism,1198318,TED2006,2006-02-02
2588,robin_chase_on_zipcar_and_her_next_big_idea,442841,TED2007,2007-03-03
2589,robin_hanson_what_would_happen_if_we_upload_our_brains_to_computers,1157035,TED2017,2017-04-24
2595,rocio_lorenzo_want_a_more_innovative_company_hire_more_women,932382,TED@BCG Milan,2017-10-04
2596,rodney_brooks_on_robots,611088,TED2003,2003-02-02
2601,rodrigo_y_gabriela_an_electrifying_acoustic_guitar_performance,1256959,TED2015,2015-03-16
2602,roger_antonsen_math_is_the_hidden_secret_to_understanding_the_world,2020783,TEDxOslo,2015-01-29
2603,roger_doiron_my_subversive_garden_plot,216885,TEDxDirigo,2011-09-10
2605,roger_mcnamee_six_ways_to_save_the_internet,291579,TEDxSantaCruz,2011-03-02
2608,rokia_traore_sings_kounandi,85108,TEDGlobal 2007,2007-06-06
2609,rokia_traore_sings_m_bifo,298215,TEDGlobal 2007,2007-06-06
111,ron_eglash_on_african_fractals,1557871,TEDGlobal 2007,2007-06-06
115,ronald_sullivan_how_i_help_free_innocent_people_from_prison,733092,TEDxMidAtlantic,2016-10-21
116,rory_bremner_s_one_man_world_summit,1125239,TEDGlobal 2009,2009-07-24
117,rory_stewart_how_to_rebuild_democracy,865614,TEDxHousesOfParliament,2012-06-12
123,rose_george_let_s_talk_crap_seriously,1652282,TED2013,2013-02-27
135,rutger_bregman_poverty_isn_t_a_lack_of_character_it_s_a_lack_of_cash,1715162,TED2017,2017-04-24
137,ryan_gravel_how_an_old_loop_of_railroads_is_changing_the_face_of_a_city,839118,TEDNYC,2016-10-05
139,ryan_lobo_through_the_lens_of_compassion,546816,TEDIndia 2009,2009-11-06
141,safwat_saleem_why_i_keep_speaking_up_even_when_people_mock_my_accent,1419977,TED2016,2016-02-15
142,sajay_samuel_how_college_loans_exploit_students_for_profit,1141703,TEDxPSU,2016-02-28
145,sal_khan_let_s_teach_for_mastery_not_test_scores,2482614,TED Talks Live,2015-11-02
146,salil_dudani_how_jails_extort_the_poor,985969,TEDxStanford,2016-04-24
147,sally_kohn_don_t_like_clickbait_don_t_click,1259624,TED@NYC,2014-07-08
151,sam_harris_can_we_build_ai_without_losing_control_over_it,2995401,TEDSummit,2016-06-26
152,sam_harris_science_can_show_what_s_right,3553212,TED2010,2010-02-11
153,sam_kass_want_to_teach_kids_well_feed_them_well,1432119,TED Talks Live,2015-11-02
154,sam_martin_builds_a_room_of_his_own,763724,TEDGlobal 2009,2009-07-24
156,samantha_nutt_the_real_harm_of_the_global_arms_trade,1062096,TED Talks Live,2015-11-04
157,samantha_power_on_a_complicated_hero,464128,TED2008,2008-02-02
159,sandi_toksvig_a_political_party_for_women_s_equality,825673,TEDWomen 2016,2016-10-27
161,sandra_fisher_martins_the_right_to_understand,297801,TEDxO'Porto,2011-03-21
162,sandrine_thuret_you_can_grow_new_brain_cells_here_s_how,5141136,TED@BCG London,2015-06-30
168,sara_dewitt_3_fears_about_screen_time_for_kids_and_why_they_re_not_true,1199647,TED2017,2017-04-24
170,sara_menker_a_global_food_crisis_may_be_only_a_decade_away,1130810,TEDGlobal 2017,2017-08-27
171,sara_ramirez_and_michael_pemberton_rollercoaster,897843,TED Talks Live,2015-11-01
174,sarah_corbett_activism_needs_introverts,823868,TEDxYouth@Bath,2016-11-17
180,sarah_kaminsky,602295,TEDxParis 2010,2010-01-30
181,sarah_kay_how_many_lives_can_you_live,750459,TEDxEast,2011-05-09
185,sarah_parcak_help_discover_ancient_ruins_before_it_s_too_late,865244,TED2016,2016-02-15
186,sarah_parcak_hunting_for_peru_s_lost_civilizations_with_satellites,1056991,TEDSummit,2016-06-27
187,sasa_vucinic_invests_in_free_press,590785,TEDGlobal 2005,2005-07-14
188,sasha_dichter,295969,NextGen:Charity,2010-11-16
190,saul_griffith_on_kites_as_the_future_of_renewable_energy,641784,TED2009,2009-02-06
191,sayu_bhojwani_how_immigrant_voices_make_democracy_stronger,831650,TEDNYC,2016-09-07
194,scott_fraser_the_problem_with_eyewitness_testimony,1074978,TEDxUSC,2012-05-04
195,scott_galloway_how_amazon_apple_facebook_and_google_manipulate_our_emotions,1596623,TEDNYC,2017-10-17
197,scott_mccloud_on_comics,1041174,TED2005,2005-02-28
198,scott_rickard_the_beautiful_math_behind_the_ugliest_music,353970,TEDxMIA,2011-09-13
199,scott_summit_beautiful_artificial_limbs,139539,TEDxCambridge,2011-11-19
203,sebastian_bortnik_the_conversation_we_re_not_having_about_digital_child_abuse,431430,TEDxRiodelaPlata,2016-10-22
205,sebastian_junger_our_lonely_society_makes_it_hard_to_come_home_from_war,812705,TED Talks Live,2015-11-04
207,sebastian_kraves_the_era_of_personal_dna_testing_is_here,1076084,TED@BCG Paris,2016-05-18
208,sebastian_seung,961482,TEDGlobal 2010,2010-07-16
209,sebastian_thrun_and_chris_anderson_the_new_generation_of_computers_is_programming_itself,1020364,TED2017,2017-04-24
211,sebastian_wernicke_1000_tedtalks_6_words,628469,TEDxZurich 2011,2011-11-10
214,seema_bansal_how_to_fix_a_broken_education_system_without_any_more_money,1291019,TED@BCG Paris,2016-05-18
215,sendhil_mullainathan,504855,TEDIndia 2009,2009-11-04
216,serena_williams_gayle_king_on_tennis_love_and_motherhood,1735305,TED2017,2017-04-24
218,sergey_brin_and_larry_page_on_google,1488788,TED2004,2004-02-02
222,seth_godin_on_sliced_bread,5689116,TED2003,2003-02-27
224,seth_godin_this_is_broken_1,963596,Gel Conference,2006-09-08
227,sethembile_msezane_living_sculptures_that_stand_for_history_s_truths,904361,TEDGlobal 2017,2017-08-27
231,shah_rukh_khan_thoughts_on_humanity_fame_and_love,5682323,TED2017,2017-04-24
232,shai_agassi_on_electric_cars,1153471,TED2009,2009-02-05
233,shai_reshef_a_tuition_free_college_degree,5247405,TED2014,2014-03-14
237,shaolan_the_chinese_zodiac_explained,2106258,TED2016,2016-02-17
238,sharon_brous_it_s_time_to_reclaim_and_reinvent_religion,1262521,TEDWomen 2016,2016-10-28
239,sharon_terry_science_didn_t_understand_my_kids_rare_disease_until_i_decided_to_study_it,1169632,TEDMED 2016,2016-11-30
240,shashi_tharoor,1498574,TEDIndia 2009,2009-11-07
243,sheena_iyengar_choosing_what_to_choose,2364903,TEDSalon NY2011,2011-11-09
247,sheila_patek_clocks_the_fastest_animals,1183297,TED2004,2004-02-25
252,sherry_turkle_alone_together,4281099,TED2012,2012-02-29
253,sherwin_nuland_on_electroshock_therapy,1585308,TED2003,2001-02-02
254,sherwin_nuland_on_hope,351639,TED2003,2003-02-02
260,shimon_schocken_s_rides_of_hope,549219,TEDxTelAviv 2010,2010-04-29
266,shlomo_benartzi_saving_more_tomorrow,1399870,TEDSalon NY2011,2011-11-09
267,shonda_rhimes_and_cyndi_stivers_the_future_of_storytelling,923713,TED2017,2017-04-24
269,shubhendu_sharma_an_engineers_vision_for_tiny_forests_everywhere,1141107,TED2014,2014-03-16
273,siamak_hariri_how_do_you_build_a_sacred_space,1162704,TEDNYC,2017-03-08
275,siddhartha_roy_science_in_service_to_the_public_good,941488,TEDxVirginiaTech,2016-11-10
278,silk_road_ensemble_rhiannon_giddens_st_james_infirmary_blues,844447,TED2016,2016-02-16
279,silk_road_ensemble_turceasca,669915,TED2016,2016-02-15
280,simon_anholt_how_would_the_rest_of_the_world_vote_in_your_country_s_election,1043098,TEDxFrankfurt,2016-11-29
285,sinead_burke_why_design_should_include_everyone,1211812,TEDNYC,2017-03-08
287,sirena_huang_dazzles_on_violin,2753344,TED2006,2006-02-23
288,sisonke_msimang_if_a_story_moves_you_act_on_it,1200464,TEDWomen 2016,2016-10-27
289,sitawa_wafula_why_i_speak_up_about_living_with_epilepsy,779175,TEDNairobi Ideas Search,2017-02-08
290,sivamani_rhythm_is_everything_everywhere,562339,TEDIndia 2009,2009-11-06
294,sleepy_man_banjo_boys_bluegrass_virtuosity_from_new_jersey,5514902,TED2013,2013-02-26
295,so_percussion_music_for_wood_and_strings,795789,TED2016,2016-02-15
296,sofi_tukker_awoo,965214,TEDNYC,2017-03-08
297,sofia_jawed_wessel_the_lies_we_tell_pregnant_women,1743024,TEDxOmaha,2016-10-08
301,sophie_hunger_plays_songs_of_secrets_city_lights,526532,TEDGlobal 2009,2009-07-23
307,stacy_smith_the_data_behind_hollywood_s_sexism,960309,TEDWomen 2016,2016-10-26
308,stanley_mcchrystal,2544978,TED2011,2011-03-04
312,stefan_sagmeister_on_what_he_has_learned,760489,TED2008,2008-02-02
313,stefan_sagmeister_shares_happy_design,1818693,TED2004,2004-02-02
320,stephanie_busari_how_fake_news_does_real_harm,1142285,TEDLagos Ideas Search,2017-02-11
323,stephen_coleman_the_moral_dangers_of_non_lethal_weapons,490844,TEDxCanberra,2011-09-24
326,stephen_lawler_tours_microsoft_virtual_earth,312422,TED2007,2007-03-03
327,stephen_palumbi_following_the_mercury_trail,368970,Mission Blue Voyage,2010-04-10
328,stephen_petranek_counts_down_to_armageddon,1734223,TED2002,2002-02-02
331,stephen_wilkes_the_passing_of_time_caught_in_a_single_photo,1635979,TED2016,2016-02-19
334,steve_jobs_how_to_live_before_you_die,8853596,Stanford University,2005-06-12
337,steve_ramirez_and_xu_liu_a_mouse_a_laser_beam_a_manipulated_memory,1059974,TEDxBoston,2013-06-25
342,steven_johnson_how_play_leads_to_great_inventions,1193973,TED Studio,2016-10-21
344,steven_johnson_tours_the_ghost_map,703602,TEDSalon 2006,2006-11-30
346,steven_levitt_analyzes_crack_economics,2926684,TED2004,2004-02-27
347,steven_levitt_on_child_carseats,765151,TEDGlobal 2005,2005-07-12
349,steven_pinker_chalks_it_up_to_the_blank_slate,1080285,TED2003,2003-02-28
350,steven_pinker_on_language_and_thought,1986716,TEDGlobal 2005,2005-07-07
351,steven_pinker_on_the_myth_of_violence,2191295,TED2007,2007-03-03
353,steven_strogatz_on_sync,653134,TED2004,2004-02-02
355,stew_says_black_men_ski,588746,TED2006,2006-03-03
356,stewart_brand_on_squatter_cities,960681,TED2006,2006-02-02
363,stuart_russell_how_ai_might_make_us_better_people,1242186,TED2017,2017-04-24
365,sue_desmond_hellmann_a_smarter_more_precise_way_to_think_about_public_health,945145,TED2016,2016-02-19
366,sue_klebold_my_son_was_a_columbine_shooter_this_is_my_story,2887477,TEDMED 2016,2016-11-30
370,suheir_hammad_poems_of_war_peace_women_power,624130,TEDWomen 2010,2010-12-08
372,sunitha_krishnan_tedindia,2573832,TEDIndia 2009,2009-11-05
373,sunni_brown,1330705,TED2011,2011-03-03
378,susan_lim,626325,INK Conference,2010-12-07
379,susan_pinker_the_secret_to_living_longer_may_be_your_social_life,1544918,TED2017,2017-04-24
380,susan_robinson_how_i_fail_at_being_disabled,1235866,TED Residency,2016-12-13
381,susan_savage_rumbaugh_on_apes_that_write,2272836,TED2004,2004-02-02
382,susan_shaw_the_oil_spill_s_toxic_trade_off,222069,TEDxOilSpill,2010-06-28
385,suzanne_barakat_islamophobia_killed_my_brother_let_s_end_the_hate,1243843,TEDWomen 2016,2016-10-28
387,suzanne_simard_how_trees_talk_to_each_other,2595816,TEDSummit,2016-06-29
390,swami_dayananda_saraswati,287410,Chautauqua Institution,2009-10-01
391,sxip_shirey_at_the_breathing_place,219601,TED2008,2008-02-12
394,t_morgan_dixon_and_vanessa_garrison_walking_as_a_revolutionary_act_of_self_care,1051805,TED2017,2017-04-24
396,taiye_selasi_don_t_ask_where_i_m_from_ask_where_i_m_a_local,2291144,TEDGlobal 2014,2014-10-07
406,tara_winkler_why_we_need_to_end_the_era_of_orphanages,921488,TEDxSydney,2016-05-24
409,tasos_frantzolas_everything_you_hear_on_film_is_a_lie,1280694,TEDxAthens,2016-02-06
412,taylor_mali_what_teachers_make,690494,Bowery Poetry Club,2005-11-12
415,ted_halstead_a_climate_solution_where_all_sides_can_win,1141529,TED2017,2017-04-24
417,teenaged_boy_wonders_play_bluegrass,1844875,TED@New York,2012-06-07
420,teresa_njoroge_what_i_learned_serving_time_for_a_crime_i_didn_t_commit,915127,TEDWomen 2017,2017-11-01
423,thandie_newton_embracing_otherness_embracing_myself,2546422,TEDGlobal 2011,2011-07-13
424,the_cockroach_beatbox,314650,TED-Ed,2011-11-17
425,the_debut_of_the_british_paraorchestra,70215,TEDxBrussels,2011-11-22
427,the_inspiration_of_second_life,562305,Serious Play 2008,2008-05-08
428,the_interspecies_internet_an_idea_in_progress,724765,TED2013,2013-02-28
429,the_jill_and_julia_show,496839,TED2007,2007-03-03
2626,the_secret_life_of_plankton,200671,TED-Ed,2012-04-02
435,theo_e_j_wilson_a_black_man_goes_undercover_in_the_alt_right,1360207,TEDxMileHigh,2017-07-08
436,theo_jansen_creates_new_creatures,4038732,TED2007,2007-03-03
437,they_might_be_giants_play_at_8_30_am,367797,TED2007,2007-03-03
438,thom_mayne_on_architecture_as_connection,682841,TED2005,2005-02-25
439,thomas_barnett_draws_a_new_map_for_peace,1156657,TED2005,2005-02-02
440,thomas_dolby_and_rachelle_garniez,449940,TED2004,2004-02-02
442,thomas_heatherwick,1604871,TED2011,2011-03-02
