,slug,view_count,event,filmed
1004,daffodil_hudson_is_this_the_cure_for_stage_fright,755011,TED in the Field,2014-04-01
1013,damon_davis_what_i_saw_at_the_ferguson_protests,960920,TED2017,2017-04-24
1014,damon_horowitz,694895,TEDxSiliconValley,2011-05-14
1024,dan_bell_inside_america_s_dead_shopping_malls,1803064,TEDxMidAtlantic,2016-10-21
1026,dan_bricklin_meet_the_inventor_of_the_electronic_spreadsheet,1031721,TEDxBeaconStreet,2016-11-19
1029,dan_dennett_cute_sexy_sweet_funny,2434627,TED2009,2009-02-05
1031,dan_dennett_on_our_consciousness,2771073,TED2003,2003-02-27
1032,dan_gartenberg_the_brain_benefits_of_deep_sleep_and_how_to_get_more_of_it,1698325,TED Residency,2017-06-06
1033,dan_gilbert_asks_why_are_we_happy,15141169,TED2004,2004-02-02
1034,dan_gilbert_researches_happiness,3847941,TEDGlobal 2005,2005-07-07
1035,dan_gilbert_you_are_always_changing,3528046,TED2014,2014-03-18
1037,dan_meyer_math_curriculum_makeover,2507644,TEDxNYED,2010-03-06
1042,dan_pink_on_motivation,19575240,TEDGlobal 2009,2009-07-24
1044,daniel_goleman_on_compassion,1684808,TED2007,2007-03-03
1049,daniel_kraft_medicine_s_future,883040,TEDxMaastricht,2011-04-04
1054,daniel_schnitzer_inventing_is_the_easy_part,215259,TEDxPittsburgh,2011-11-19
1059,danielle_de_niese_a_flirtatious_aria,799969,TEDGlobal 2011,2011-07-12
1062,danny_dorling_maps_that_show_us_who_we_are_not_just_where_we_are,1460077,TEDxExeter,2016-04-15
1065,danny_hillis_two_frontiers_of_cancer_treatment,428654,TEDMED 2010,2010-10-26
1066,dao_nguyen_what_makes_something_go_viral,883219,TEDNYC,2017-10-17
1070,dave_brain_what_a_planet_needs_to_sustain_life,1382623,TEDxBoulder,2015-09-19
1078,david_autor_why_are_there_still_so_many_jobs,1338145,TEDxCambridge,2016-09-29
1079,david_baron_you_owe_it_to_yourself_to_experience_a_total_solar_eclipse,1578415,TEDxMileHigh,2017-07-08
1080,david_birch_identity_without_a_name,177930,TEDxSussexUniversity,2012-04-27
1083,david_bolinsky_animates_a_cell,1850592,TED2007,2007-03-03
1084,david_brenner_a_new_weapon_in_the_fight_against_superbugs,703773,TED2017,2017-04-24
1087,david_burkus_why_you_should_know_how_much_your_coworkers_get_paid,1800727,TEDxUniversityofNevada,2016-01-23
1089,david_byrne_sings_nothing_but_flowers,635953,TED2010,2010-02-12
1090,david_camarillo_why_helmets_don_t_prevent_concussions_and_what_might,1244991,TEDxStanford,2016-04-24
1091,david_cameron,667026,TED2010,2010-02-10
1092,david_carson_on_design,794019,TED2003,2003-02-02
1093,david_casarett_a_doctor_s_case_for_medical_marijuana,1194064,TEDMED 2016,2016-11-30
1095,david_christian_big_history,7927515,TED2011,2011-03-04
1096,david_damberger_what_happens_when_an_ngo_admits_failure,226696,TEDxYYC,2011-04-01
1098,david_deutsch_on_our_place_in_the_cosmos,1125470,TEDGlobal 2005,2005-07-14
1106,david_hanson_robots_that_relate_to_you,924703,TED2009,2009-02-04
1107,david_hoffman_on_losing_everything,947749,TED2008,2008-02-02
1109,david_holt_plays_mountain_music,521705,TED2004,2004-03-01
1110,david_keith_s_surprising_ideas_on_climate_change,938032,TEDSalon 2007 Hot Science,2007-09-09
1112,david_kelley_on_human_centered_design,813133,TED2002,2002-02-02
1115,david_lee_why_jobs_of_the_future_won_t_feel_like_work,1456827,TED@UPS,2017-07-20
1117,david_macaulay_s_rome_antics,710564,TED2002,2002-02-02
1120,david_merrill_demos_siftables_the_smart_blocks,1773297,TED2009,2009-02-06
1121,david_miliband_the_refugee_crisis_is_a_test_of_our_character,1233040,TED2017,2017-04-24
1122,david_perry_on_videogames,1108350,TED2006,2006-02-02
1125,david_pogue_on_cool_phone_tricks,738912,EG 2008,2008-12-12
1128,david_puttnam_what_happens_when_the_media_s_priority_is_profit,881004,TEDxHousesOfParliament,2013-06-20
1130,david_r_williams_how_racism_makes_us_sick,1091134,TEDMED 2016,2016-11-30
1132,david_s_rose_on_pitching_to_vcs,1047869,TED2007,2007-03-01
1136,david_titley_how_the_military_fights_climate_change,770270,TED2017,2017-04-24
1137,david_whyte_a_lyrical_bridge_between_past_present_and_future,876944,TED2017,2017-04-24
1139,dean_kamen_on_inventing_and_giving,699762,TED2002,2002-02-02
1142,dean_ornish_on_healing,1158041,TED2004,2004-02-02
1143,dean_ornish_on_the_world_s_killer_diet,2357139,TED2006,2006-02-23
1146,debate_does_the_world_need_nuclear_energy,1327023,TED2010,2010-02-12
1147,deborah_gordon_digs_ants,966052,TED2003,2003-02-02
1149,deborah_lipstadt_behind_the_lies_of_holocaust_denial,1034167,TEDxSkoll,2017-04-07
1150,deborah_rhodes,906308,TEDWomen 2010,2010-12-08
1151,deborah_scranton_on_her_war_tapes,516095,TED2007,2007-03-03
1154,deep_ocean_mysteries_and_wonders,282981,TED-Ed,2012-03-12
1155,deepika_kurup_a_young_scientist_s_quest_for_clean_water,1011155,TEDWomen 2016,2016-10-26
1156,deeyah_khan_what_we_don_t_know_about_europe_s_muslim_kids,1260773,TEDxExeter,2016-04-15
1157,defend_our_freedom_to_share_or_why_sopa_is_a_bad_idea,1283564,TEDSalon NY2012,2012-01-17
1158,del_harvey_the_strangeness_of_scale_at_twitter,903191,TED2014,2014-03-12
1159,dena_simmons_how_students_of_color_confront_impostor_syndrome,1046472,TED Talks Live,2015-11-02
1163,dennis_hong_my_seven_species_of_robot,1955076,TEDxNASA,2009-09-10
1168,derek_sivers_weird_or_just_different,2941704,TEDIndia 2009,2009-11-06
1169,devdutt_pattanaik,1736554,TEDIndia 2009,2009-11-05
1170,devita_davison_how_urban_agriculture_is_transforming_detroit,695472,TED2017,2017-04-24
1171,diana_laufenberg_3_ways_to_teach,1938845,TEDxMidAtlantic,2010-11-05
1174,diane_j_savino_the_case_for_same_sex_marriage,294934,New York State Senate,2009-12-02
1178,diebedo_francis_kere_how_to_build_with_clay_and_community,918097,TEDCity2.0,2013-09-20
1182,don_norman_on_design_and_emotion,1299937,TED2003,2003-02-02
1184,don_tapscott_how_the_blockchain_is_changing_money_and_business,2703790,TEDSummit,2016-06-28
1191,douglas_adams_parrots_the_universe_and_everything,476066,University of California,2001-05-16
1196,duarte_geraldino_what_we_re_missing_in_the_debate_about_immigration,943380,TED Residency,2017-06-06
1200,e_o_wilson_on_saving_life_on_earth,1375612,TED2007,2007-03-08
1202,ed_boyden,948571,TED2011,2011-03-03
1203,ed_boyden_baby_diapers_inspired_this_new_way_to_study_the_brain,1291367,TEDSummit,2016-06-26
1207,eddi_reader_sings_about_what_you_ve_got,436095,TED2003,2003-02-02
1208,eddi_reader_sings_kiteflyer_s_hill,520277,TED2003,2003-02-02
1212,eduardo_briceno_how_to_get_better_at_the_things_you_care_about,2303320,TEDxManhattanBeach,2016-11-05
1215,edward_burtynsky_on_manufactured_landscapes,1015564,TED2005,2005-02-17
1219,edwidge_danticat_stories_of_haiti,51206,University of California,2004-10-13
1220,einstein_the_parrot_talks_and_squawks,2382703,TED2006,2006-02-02
1221,el_seed_a_project_of_peace_painted_across_50_buildings,838996,TEDSummit,2016-06-26
1225,elene_gabre_madhin_on_ethiopian_economics,589301,TEDGlobal 2007,2007-06-06
1227,eli_pariser_beware_online_filter_bubbles,4151286,TED2011,2011-03-03
1229,elif_shafak_the_revolutionary_power_of_diverse_thought,1363674,TEDGlobal>NYC,2017-09-20
1230,elise_roy_when_we_design_for_disability_we_all_benefit,1201406,TEDxMidAtlantic,2015-09-25
1231,elizabeth_blackburn_the_science_of_cells_that_never_get_old,1095018,TED2017,2017-04-24
1232,elizabeth_gilbert_on_genius,14032654,TED2009,2009-02-05
1234,elizabeth_lesser_say_your_truths_and_seek_them_in_others,1347803,TEDWomen 2016,2016-10-27
1238,elizabeth_loftus_the_fiction_of_memory,3489086,TEDGlobal 2013,2013-06-11
1239,elizabeth_murchison,489324,TEDGlobal 2011,2011-07-14
1242,elizabeth_wayne_we_can_hack_our_immune_cells_to_fight_cancer,1036406,TED2017,2017-04-24
1246,ellen_jorgensen_what_you_need_to_know_about_crispr,1493726,TEDSummit,2016-06-27
1249,elon_musk_the_future_we_re_building_and_boring,7906237,TED2017,2017-04-24
1252,elyn_saks_seeing_mental_illness,3367186,TEDGlobal 2012,2012-06-27
1257,emily_esfahani_smith_there_s_more_to_life_than_being_happy,3196919,TED2017,2017-04-24
1260,emily_parsons_lord_art_made_of_the_air_we_breathe,859018,TEDxYouth@Sydney,2016-05-24
1262,emma_marris_nature_is_everywhere_we_just_need_to_learn_to_see_it,1043112,TEDSummit,2016-06-26
1265,emtithal_mahmoud_a_young_poet_tells_the_story_of_darfur,888457,TEDMED 2016,2016-11-30
1266,enric_sala,321047,Mission Blue Voyage,2010-04-10
1269,eric_berlow_how_complexity_leads_to_simplicity,1176492,TEDGlobal 2010,2010-07-15
1272,eric_dyer_the_forgotten_art_of_the_zoetrope,851005,TEDxCharlottesville,2016-11-11
1273,eric_giler_demos_wireless_electricity,2106515,TEDGlobal 2009,2009-07-23
1274,eric_haseltine_what_will_be_the_next_big_scientific_breakthrough,1507408,TED Talks Live,2015-11-05
1275,eric_lewis_plays_chaos_and_harmony,394144,TED2009,2009-02-05
1276,eric_lewis_strikes_chords_to_rock_the_jazz_world,702770,TED2009,2009-02-06
1277,eric_liu_there_s_no_such_thing_as_not_voting,808668,TEDNYC,2016-09-07
1283,eric_whitacre_virtual_choir_live,1020042,TED2013,2013-03-01
1290,erika_gregory_the_world_doesn_t_need_more_nuclear_weapons,919134,TEDWomen 2016,2016-10-28
1291,erin_marie_saltman_how_young_people_join_violent_extremist_groups_and_how_to_stop_them,980100,TEDxGhent,2016-06-18
1293,erin_mckean_redefines_the_dictionary,1051498,TED2007,2007-03-03
1301,ethan_zuckerman,710762,TEDGlobal 2010,2010-07-14
1302,ethel_performs_blue_room,391085,TED2006,2006-02-02
1303,euna_lee_what_i_learned_as_a_prisoner_in_north_korea,1736178,TEDxIndianaUniversity,2016-10-29
1304,euvin_naidoo_on_investing_in_africa,358237,TEDGlobal 2007,2007-06-04
1305,eva_vertes_looks_to_the_future_of_medicine,1046073,TED2005,2005-02-26
1307,evan_grant_cymatics,829652,TEDGlobal 2009,2009-07-23
1308,evan_williams_on_listening_to_twitter_users,1149411,TED2009,2009-02-05
1309,eve_ensler,1364953,TEDWomen 2010,2010-12-04
1312,eve_ensler_on_security,1094416,TEDGlobal 2005,2005-07-07
1314,evgeny_morozov_is_the_internet_what_orwell_feared,435433,TEDGlobal 2009,2009-07-23
1315,ex_moonie_diane_benscoter_how_cults_think,1097520,TED2009,2009-02-06
1316,eythor_bender_demos_human_exoskeletons,1378462,TED2011,2011-03-02
1322,fawn_qiu_easy_diy_projects_for_kid_engineers,1085114,TED Residency,2016-07-12
2618,franco_sacchi_on_nollywood,226812,TEDGlobal 2007,2007-06-06
1330,francoise_mouly_the_stories_behind_the_new_yorker_s_iconic_covers,1015861,TEDNYC,2017-03-08
1332,frank_gehry_asks_then_what,972820,TED2002,2002-02-28
1334,frans_de_waal_do_animals_have_morals,3724565,TEDxPeachtree,2011-11-04
1336,frans_lanting_s_lyrical_nature_photos,1759692,TED2005,2005-02-02
1337,franz_freudenthal_a_new_way_to_heal_hearts_without_surgery,1263165,TED2016,2016-02-16
1345,g_t_bynum_a_republican_mayor_s_plan_to_replace_partisanship_with_policy,685504,TEDxPennsylvaniaAvenue,2017-02-09
1346,gabby_giffords_and_mark_kelly_be_passionate_be_courageous_be_your_best,1063850,TED2014,2014-03-21
1348,gabe_zichermann_how_games_make_kids_smarter,451735,TEDxKids@Brussels,2011-06-01
1350,gabriela_gonzalez_how_ligo_discovered_gravitational_waves_and_what_might_be_next,388747,TED2017,2017-04-24
1352,garik_israelian_what_s_inside_a_star,598301,TEDGlobal 2009,2009-07-23
1353,garrett_lisi_on_his_theory_of_everything,1523079,TED2008,2008-02-02
1354,garry_kasparov_don_t_fear_intelligent_machines_work_with_them,1238595,TED2017,2017-04-24
1355,garth_lenz_images_of_beauty_and_devastation,802860,TEDxVictoria,2011-11-19
1359,gary_kovacs_tracking_the_trackers,2121925,TED2012,2012-02-29
1362,gary_vaynerchuk_do_what_you_love_no_excuses,778975,Web 2.0 Expo 2008,2008-09-19
1364,gautam_bhan_a_bold_plan_to_house_100_million_people,233188,TED Talks India,2017-12-10
1371,gel_gotta_share,359961,Gel Conference,2011-04-28
1377,george_ayittey_on_cheetahs_vs_hippos,665493,TEDGlobal 2007,2007-06-05
1379,george_dyson_on_project_orion,793731,TED2002,2002-02-02
1384,george_tulevski_the_next_step_in_nanotechnology,1330988,TED@IBM,2016-11-15
1389,gerard_ryle_how_the_panama_papers_journalists_broke_the_biggest_leak_in_history,1017396,TEDSummit,2016-06-26
1390,gero_miesenboeck,620220,TEDGlobal 2010,2010-07-16
1391,gever_tulley_on_5_dangerous_things_for_kids,4467972,TED2007,2007-03-03
1392,gever_tulley_s_tinkering_school_in_action,1167029,TED2009,2009-02-06
1394,giles_duley_when_a_reporter_becomes_the_story,153585,TEDxObserver,2012-03-10
1395,gill_hicks_i_survived_a_terrorist_attack_here_s_what_i_learned,840740,TEDxSydney,2016-05-24
1396,giorgia_lupi_how_we_can_find_ourselves_in_data,1133833,TEDNYC,2017-03-08
1397,giulia_enders_the_surprisingly_charming_science_of_our_gut,1560602,TEDxDanubia,2017-05-04
1400,golan_levin_ted2009,776731,TED2009,2009-02-20
1401,gonzalo_vilarino_how_argentina_s_blind_soccer_team_became_champions,460585,TEDxRiodelaPlata,2015-09-24
1402,gordon_brown,826344,TEDGlobal 2009,2009-07-21
1404,grace_kim_how_cohousing_can_make_us_happier_and_live_longer,1656186,TED2017,2017-04-24
1405,grady_booch_don_t_fear_superintelligence,1451877,TED@IBM,2016-11-15
1408,graham_hill_weekday_vegetarian,2211339,TED2010,2010-02-10
1410,greg_gage_electrical_experiments_with_plants_that_count_and_communicate,1326543,TED2017,2017-04-24
1412,greg_lynn_on_organic_design,359412,TED2005,2005-02-02
1418,gretchen_carlson_david_brooks_political_common_ground_in_a_polarized_united_states,946628,TED Dialogues,2017-03-01
1419,gretchen_carlson_how_we_can_end_sexual_harassment_at_work,1075757,TEDWomen 2017,2017-11-01
1421,gus_casely_hayford_the_powerful_stories_that_shaped_africa,985095,TEDGlobal 2017,2017-08-27
1424,guy_winch_the_case_for_emotional_hygiene,5351772,TEDxLinnaeusUniversity,2014-11-07
1425,haas_hahn_how_painting_can_transform_communities,1703135,TEDGlobal 2014,2014-10-08
1428,halla_tomasdottir,600754,TEDWomen 2010,2010-12-08
